"","pr","X0"
"779",2013,0
"780",2016,0
"781",2019,0
"782",2021,0
"783",2025,0
"784",2026,0
"785",2029,0
"786",2032,0
"787",2036,0
"788",2038,0
"789",2042,0
"790",2046,0
"791",2047,0
"792",2049,0
"793",2050,0
"794",2052,0
"795",2054,0
"796",2058,0
"797",2060,0
"798",2063,0
"799",2064,0
"800",2073,0
"801",2076,0
"802",2078,0
"803",2080,0
"804",2083,0
"805",2089,0
"806",2090,0
"807",2092,0
"808",2095,0
"809",2098,0
"810",2104,0
"811",2105,0
"812",2109,0
"813",2110,0
"814",2111,0
"815",2115,0
"816",2117,0
"817",2119,0
"818",2123,0
"819",2128,0
"820",2130,0
"821",2133,0
"822",2134,0
"823",2136,0
"824",2137,0
"825",2142,0
"826",2143,0
"827",2144,0
"828",2146,0
"829",2148,0
"830",2156,0
"831",2160,0
"832",2166,0
"833",2168,0
"834",2171,0
"835",2172,0
"836",2173,0
"837",2176,0
"838",2177,0
"839",2180,0
"840",2181,0
"841",2182,0
"842",2183,0
"843",2184,0
"844",2190,0
"845",2191,0
"846",2192,0
"847",2200,0
"848",2201,0
"849",2203,0
"850",2204,0
"851",2205,0
"852",2206,0
"853",2208,0
"854",2209,0
"855",2210,0
"856",2214,0
"857",2216,0
"858",2218,0
"859",2219,0
"860",2220,0
"861",2221,0
"862",2222,0
"863",2224,0
"864",2228,0
"865",2231,0
"866",2232,0
"867",2233,0
"868",2235,0
"869",2237,0
"870",2238,0
"871",2239,0
"872",2241,0
"873",2243,0
"874",2244,0
"875",2247,0
"876",2249,0
"877",2251,0
"878",2252,0
"879",2253,0
"880",2254,0
"881",2255,0
"882",2261,0
"883",2263,0
"884",2267,0
"885",2268,0
"886",2269,0
"887",2270,0
"888",2272,0
"889",2273,0
"890",2274,0
"891",2276,0
"892",2277,0
"893",2279,0
"894",2280,0
"895",2282,0
"896",2284,0
"897",2285,0
"898",2288,0
"899",2292,0
"900",2293,0
"901",2294,0
"902",2298,0
"903",2299,0
"904",2305,0
"905",2308,0
"906",2309,0
"907",2311,0
"908",2313,0
"909",2318,0
"910",2319,0
"911",2321,0
"912",2322,0
"913",2323,0
"914",2324,0
"915",2326,0
"916",2334,0
"917",2335,0
"918",2336,0
"919",2342,0
"920",2343,0
"921",2350,0
"922",2351,0
"923",2353,0
"924",2355,0
"925",2360,0
"926",2365,0
"927",2366,0
"928",2370,0
"929",2378,0
"930",2379,0
"931",2385,0
"932",2389,0
"933",2390,0
"934",2391,0
"935",2393,0
"936",2394,0
"937",2397,0
